,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률,선수OPS,선수WAR
130,장승현,0.25,0.0,0.3,0.05,0.25,0.15,0.2857142857142857,0.0,0.718,0.12
131,송준석,0.27699999999999997,0.02127659574468085,0.1276595744680851,0.02127659574468085,0.10638297872340426,0.14893617021276595,0.2916666666666667,0.0,0.767,0.12
132,이진영,0.22699999999999998,0.0,0.4090909090909091,0.0,0.18181818181818182,0.22727272727272727,0.22727272727272727,1.0,0.643,0.1
133,김호은,0.253,0.020202020202020204,0.13131313131313133,0.020202020202020204,0.12121212121212122,0.1111111111111111,0.26732673267326734,0.0,0.679,0.1
134,지성준,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
135,이흥련,0.24,0.024,0.232,0.0,0.048,0.16,0.24,0.0,0.593,0.09
136,이성우,0.24,0.04,0.18666666666666668,0.0,0.09333333333333334,0.14666666666666667,0.23076923076923078,0.0,0.67,0.09
137,신성현,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
138,김성윤,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
139,김민식,0.248,0.009523809523809525,0.13333333333333333,0.009523809523809525,0.10476190476190476,0.1,0.24770642201834864,0.0,0.622,0.07
140,오선우,0.239,0.05970149253731343,0.3880597014925373,0.04477611940298507,0.16417910447761194,0.208955223880597,0.2714285714285714,0.0,0.7190000000000001,0.07
141,신용수,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
142,김기환,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
143,서예일,0.24,0.0,0.28,0.0,0.16,0.04,0.24,0.0,0.63,0.06
144,유서준,0.25,0.041666666666666664,0.2916666666666667,0.0,0.4166666666666667,0.08333333333333333,0.25,0.5,0.6970000000000001,0.06
145,김문호,0.217,0.043478260869565216,0.2391304347826087,0.021739130434782608,0.13043478260869565,0.10869565217391304,0.23404255319148937,0.0,0.677,0.05
146,임지열,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
147,김민수,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
148,강현우,0.2,0.03333333333333333,0.36666666666666664,0.0,0.06666666666666667,0.1,0.2,0.0,0.617,0.04
149,신본기,0.217,0.018867924528301886,0.20754716981132076,0.009433962264150943,0.16981132075471697,0.11320754716981132,0.2222222222222222,1.0,0.595,0.04
150,최승준,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
151,장준원,0.22399999999999998,0.017241379310344827,0.1206896551724138,0.0,0.15517241379310345,0.10344827586206896,0.22033898305084745,0.0,0.62,0.04
