,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률
127,정범모,0.256,0.023255814,0.348837209,0,0.11627907,0.069767442,0.244444444,0
128,이홍구,0.188,0.099009901,0.425742574,0.01980198,0.138613861,0.178217822,0.201923077,0
129,정진기,0.234,0.055837563,0.279187817,0.020304569,0.187817259,0.177664975,0.246305419,1
130,이진영,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
131,송성문,0.273,0.012987013,0.207792208,0.012987013,0.142857143,0.103896104,0.278481013,0
132,김정혁,0.274,0,0.214285714,0.023809524,0.178571429,0.154761905,0.290697674,0.75
133,임병욱,0.238,0.023809524,0.333333333,0,0.238095238,0.166666667,0.238095238,1
134,김진곤,0.282,0.051282051,0.282051282,0,0.230769231,0.205128205,0.282051282,1
135,노관현,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
136,박윤,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
137,김태우,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
138,허도환,0.225,0.025,0.25,0.05,0.1,0.1,0.244444444,0
139,차일목,0.207,0.010869565,0.22826087,0.032608696,0.076086957,0.076086957,0.222222222,0.5
140,문규현,0.27,0.019736842,0.138157895,0.006578947,0.125,0.138157895,0.259259259,0.666666667
141,이진영,0.29,0.007633588,0.125954198,0.003816794,0.106870229,0.118320611,0.288389513,0
142,김강률,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
143,김주성,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
144,문선재,0.261,0.02173913,0.260869565,0.010869565,0.184782609,0.152173913,0.263157895,0
145,백승현,0.217,0,0.260869565,0.043478261,0.086956522,0.043478261,0.24,0
146,정찬헌,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
147,최정민,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
148,김지성,0.234,0.042553191,0.29787234,0.021276596,0.127659574,0.085106383,0.25,1
149,최영진,0.2,0.05,0.2,0,0.2,0.2,0.19047619,1
150,노진혁,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
151,김종호,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
152,전민수,0.277,0.007692308,0.192307692,0,0.153846154,0.061538462,0.270676692,0.666666667
153,서예일,0.261,0,0.260869565,0,0.217391304,0.086956522,0.25,0
154,김강민,0.219,0.027322404,0.273224044,0.027322404,0.169398907,0.098360656,0.239361702,0.714285714
155,박상언,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
156,유민상,0.233,0.033333333,0.266666667,0.033333333,0.133333333,0.066666667,0.258064516,1
157,김주현,0.265,0,0.441176471,0.029411765,0.088235294,0.088235294,0.285714286,0
158,윤진호,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
159,조평호,0.227,0.022727273,0.295454545,0.022727273,0.090909091,0.090909091,0.239130435,0
160,노경은,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
161,박유연,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
162,강구성,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
163,박진태,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
164,윤요섭,0.231,0.051282051,0.179487179,0,0.153846154,0.153846154,0.230769231,0
165,전유수,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
166,유영준,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
167,김찬형,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
168,강동관,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
169,홍재호,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
170,황경태,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
171,엄상백,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
172,심창민,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
173,윤근영,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
174,김지용,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
