순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
105,이택근,17넥RF,0.42,100,269,241,27,67,15,1,3,93,29,0,0,25,1,1,58,9,1,1,.278,.347,.386,.733,.332,87.7,0.42,-0.45
106,류지혁,17두SS,0.41,125,330,297,60,77,13,4,3,107,26,7,5,21,4,0,55,2,8,0,.259,.317,.360,.677,.301,70.7,0.41,0.01
107,조용호,17SCF,0.40,68,225,191,34,52,7,1,0,61,10,11,2,25,3,0,39,4,6,0,.272,.365,.319,.685,.318,81.7,0.40,-0.72
108,김호령,17KCF,0.38,98,105,90,31,24,6,1,1,35,11,3,2,9,2,0,23,0,3,1,.267,.343,.389,.732,.323,83.2,0.38,-0.46
109,박헌도,17롯LF,0.38,56,130,113,19,29,4,0,4,45,13,0,0,14,3,0,27,3,0,0,.257,.354,.398,.752,.343,95.3,0.38,0.12
110,허경민,17두3B,0.38,130,422,369,50,95,22,1,3,128,40,8,4,29,10,0,48,15,12,2,.257,.327,.347,.674,.302,71.8,0.38,-1.46
111,최재훈,17두한C,0.38,104,309,269,22,69,10,0,1,82,16,0,2,26,8,0,36,10,6,0,.257,.340,.305,.645,.302,69.2,0.38,-0.67
112,지석훈,17NSS,0.37,121,304,268,29,64,16,0,6,98,24,1,0,22,10,0,67,8,2,2,.239,.318,.366,.684,.309,74.8,0.37,-1.48
113,로니,17L1B,0.34,23,93,79,7,22,5,0,3,36,12,0,0,11,1,1,14,1,0,2,.278,.366,.456,.821,.359,112.9,0.34,0.06
114,장성우,17kC,0.34,118,348,294,28,68,11,1,8,105,46,0,4,43,2,1,59,13,4,5,.231,.329,.357,.686,.309,72.5,0.34,-0.58
115,이용규,17한CF,0.32,57,200,179,31,47,8,1,0,57,12,10,3,17,2,0,20,4,1,1,.263,.332,.318,.650,.304,70.8,0.32,-0.26
116,최항,17S3B,0.30,37,116,106,14,34,8,0,1,45,16,0,1,3,3,0,29,1,2,2,.321,.351,.425,.775,.341,97.5,0.30,0.09
117,이재원,17SC,0.30,114,350,314,32,76,15,0,9,118,42,0,1,16,8,0,55,9,8,4,.242,.292,.376,.668,.291,61.9,0.30,-0.03
118,김경언,17한RF,0.27,38,118,105,17,26,7,0,5,48,17,1,0,12,1,0,27,1,0,0,.248,.331,.457,.788,.346,96.7,0.27,0.63
119,이성우,17SC,0.27,64,125,111,6,31,5,0,1,39,14,0,0,6,1,0,17,2,7,0,.279,.322,.351,.673,.292,63.4,0.27,0.14
120,정상호,17LC,0.26,79,150,137,16,36,3,0,3,48,17,0,0,4,5,0,32,8,4,0,.263,.308,.350,.659,.293,66.3,0.26,-0.53
121,박한이,17삼LF,0.23,68,134,118,14,31,9,0,4,52,14,0,0,13,0,2,33,2,2,1,.263,.333,.441,.774,.331,88.1,0.23,0.47
122,권정웅,17삼C,0.22,60,112,99,11,21,3,0,6,42,11,0,0,8,1,0,31,4,4,0,.212,.278,.424,.702,.294,62.1,0.22,-0.45
123,강진성,17N,0.21,28,32,27,5,8,3,0,1,14,5,0,0,4,1,0,4,1,0,0,.296,.406,.519,.925,.408,139.7,0.21,-0.14
124,김용의,17LCF,0.20,60,189,164,17,44,6,2,0,54,8,9,4,19,0,0,49,2,6,0,.268,.344,.329,.674,.306,71.9,0.20,-0.30
125,김회성,17한1B,0.18,54,103,85,10,20,4,0,3,33,13,0,0,13,2,0,24,3,1,2,.235,.343,.388,.731,.328,85.1,0.18,0.60
126,이대수,17SSS,0.18,58,124,105,18,29,5,1,0,36,4,3,0,10,2,0,20,1,7,0,.276,.350,.343,.693,.306,74.2,0.18,0.15
127,이우민,17롯CF,0.17,104,215,185,35,47,5,1,4,66,21,2,4,15,10,2,38,6,5,0,.254,.343,.357,.700,.314,76.4,0.17,-0.18
128,정범모,17한C,0.16,22,50,43,5,11,2,0,1,16,3,0,0,5,0,0,15,0,2,0,.256,.333,.372,.705,.310,73.7,0.16,0.02
129,이홍구,17KSC,0.15,53,110,101,14,19,3,0,10,52,18,0,0,5,2,0,43,2,1,1,.188,.239,.515,.753,.305,66.5,0.15,-0.41
130,정진기,17SLF,0.13,90,212,197,37,46,5,1,11,86,35,4,0,9,4,0,55,1,2,0,.234,.281,.437,.718,.308,70.9,0.13,1.79
131,이진영,17KLF,0.12,18,8,5,3,2,0,0,0,2,0,0,1,1,2,0,1,0,0,0,.400,.625,.400,1.025,.512,209.4,0.12,-0.19
132,송성문,17넥2B,0.11,38,90,77,11,21,0,1,1,26,8,0,1,10,1,0,16,0,1,1,.273,.360,.338,.697,.323,82.6,0.11,0.29
133,김정혁,17삼3B,0.10,31,91,84,15,23,5,0,0,28,13,3,1,4,2,0,18,1,0,1,.274,.319,.333,.652,.301,70.6,0.10,0.45
134,임병욱,17넥CF,0.09,21,46,42,10,10,3,0,1,16,7,2,0,3,0,0,14,2,0,1,.238,.283,.381,.664,.292,62.2,0.09,-0.36
135,김진곤,17kLF,0.09,28,40,39,9,11,1,0,2,18,8,1,0,1,0,0,11,0,0,0,.282,.300,.462,.762,.330,86.2,0.09,-0.44
136,노관현,17K,0.08,9,6,6,0,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0,.500,.500,.500,1.000,.464,175.0,0.08,-0.03
137,박윤,17넥1B,0.08,9,18,16,2,5,1,0,0,6,0,0,0,2,0,0,4,0,0,0,.313,.389,.375,.764,.357,103.7,0.08,0.02
138,김태우,17NC,0.07,3,7,7,0,3,0,0,0,3,2,0,0,0,0,0,0,1,0,0,.429,.429,.429,.857,.397,135.5,0.07,0.08
139,허도환,17한C,0.07,30,49,40,4,9,3,0,1,15,4,0,0,4,2,0,10,2,3,0,.225,.326,.375,.701,.301,67.4,0.07,0.16
140,차일목,17한C,0.06,52,112,92,7,19,3,0,1,25,7,1,1,13,3,0,21,5,4,0,.207,.324,.272,.596,.280,53.6,0.06,-1.11
141,문규현,17롯SS,0.06,110,337,304,38,82,15,2,6,119,42,2,1,10,2,1,42,10,18,3,.270,.295,.391,.686,.286,57.8,0.06,-0.80
142,이진영,17kDH,0.05,102,284,262,28,76,26,1,2,110,31,0,0,17,1,1,33,3,4,0,.290,.336,.420,.756,.332,87.0,0.05,0.83
143,김강률,17두P,0.05,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.927,488.0,0.05,0.02
144,김주성,17L3B,0.05,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.927,486.1,0.05,0.00
145,문선재,17LLF,0.05,35,107,92,17,24,6,1,2,38,14,0,3,10,1,0,24,0,2,2,.261,.333,.413,.746,.326,88.2,0.05,0.31
146,백승현,17LSS,0.05,9,30,23,2,5,1,0,0,6,1,0,1,5,1,0,6,0,1,0,.217,.379,.261,.640,.312,76.9,0.05,-0.00
147,정찬헌,17LP,0.05,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.927,486.1,0.05,0.05
148,최정민,17K2B,0.05,8,9,9,1,3,1,0,0,4,1,0,0,0,0,0,4,0,0,0,.333,.333,.444,.778,.346,96.2,0.05,-0.14
149,김지성,17KSS,0.05,37,49,47,6,11,3,0,2,20,4,1,0,1,1,0,14,1,0,0,.234,.265,.426,.691,.299,66.5,0.05,-0.29
150,최영진,17삼3B,0.05,14,22,20,4,4,0,2,1,11,4,1,0,1,0,0,4,0,1,0,.200,.238,.550,.788,.303,66.7,0.05,0.46
151,노진혁,17N3B,0.04,4,7,7,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,.286,.286,.429,.714,.312,77.1,0.04,-0.14
152,김종호,17N,0.03,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,,0.03,0.02
153,전민수,17kLF,0.03,55,145,130,20,36,8,0,1,47,8,2,1,11,0,0,25,2,3,1,.277,.331,.362,.693,.310,72.9,0.03,-0.17
154,서예일,17두SS,0.03,22,25,23,5,6,2,0,0,8,2,0,0,1,0,0,6,1,1,0,.261,.292,.348,.640,.278,55.0,0.03,-0.10
155,김강민,17SCF,0.02,88,203,183,31,40,5,1,5,62,18,10,4,15,5,0,50,3,0,0,.219,.296,.339,.634,.290,61.2,0.02,0.38
156,박상언,17한C,0.02,4,4,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,.000,.500,.000,.500,.364,106.1,0.02,-0.01
157,유민상,17k1B,0.02,15,33,30,4,7,1,0,1,11,2,1,0,2,1,0,8,1,0,0,.233,.303,.367,.670,.303,68.7,0.02,-0.33
158,김주현,17한1B,0.01,24,43,34,3,9,2,0,0,11,3,0,0,8,1,0,15,0,0,0,.265,.419,.324,.742,.362,109.8,0.01,0.06
159,윤진호,17L3B,0.01,14,3,3,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,.333,.333,.333,.667,.309,73.2,0.01,-0.13
160,조평호,17N3B,0.01,29,52,44,4,10,3,0,1,16,4,0,1,6,1,0,13,2,1,0,.227,.333,.364,.697,.315,78.2,0.01,-0.48
161,노경은,17롯P,0.01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,,0.01,-0.06
162,박유연,17두C,0.01,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,.333,.333,.333,.667,.309,73.4,0.01,-0.01
163,강구성,17N,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,-0.01
,박진태,17KP,0.00,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,0.00
165,윤요섭,17kDH,0.00,22,43,39,6,9,1,0,2,16,6,0,0,4,0,0,7,1,0,0,.231,.302,.410,.713,.315,76.6,0.00,-0.10
166,전유수,17S1B,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,-0.00
167,유영준,17N,0.00,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,0.00
168,김찬형,17NSS,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
169,강동관,17롯C,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
