Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2019-04-24,SK,삼성,다익손,헤일리,김강민 고종욱 최정 한유섬 정의윤 로맥 나주환 김성현 허도환 ,박해민 김상수 구자욱 러프 이원석 송준석 강민호 이학주 박계범 ,9,8,0
2019-04-25,두산,키움,유희관,최원태,정수빈 페르난데스 박건우 김재환 오재일 허경민 박세혁 김재호 류지혁 ,이정후 서건창 김하성 박병호 샌즈 장영석 김규민 김혜성 박동원 ,6,9,1
2019-04-25,SK,삼성,박종훈,윤성환,김강민 고종욱 최정 정의윤 이재원 로맥 나주환 정진기 안상현 ,박해민 김상수 구자욱 이원석 박한이 송준석 강민호 이성곤 이학주 ,4,3,0
2019-04-26,롯데,두산,톰슨,이영하,전준우 아수아헤 손아섭 이대호 오윤석 허일 한동희 김준태 신본기 ,정수빈 페르난데스 박건우 김재환 오재일 허경민 박세혁 신성현 류지혁 ,8,11,1
2019-04-26,KIA,키움,양현종,이승호,이명기 김주찬 안치홍 최형우 나지완 이창진 김선빈 한승택 박찬호 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 허정협 ,4,8,1
2019-04-26,SK,KT,문승원,김민,김재현 고종욱 최정 정의윤 이재원 로맥 나주환 정진기 안상현 ,김민혁 황재균 강백호 로하스 유한준 윤석민 김영환 장성우 심우준 ,2,0,0
2019-04-27,롯데,두산,장시환,린드블럼,전준우 아수아헤 손아섭 이대호 허일 오윤석 한동희 김준태 신본기 ,정수빈 페르난데스 박건우 김재환 박세혁 김재호 류지혁 김인태 정병곤 ,0,7,1
2019-04-27,KIA,키움,윌랜드,브리검,이명기 김선빈 안치홍 최형우 김주찬 이창진 한승택 박찬호 박준태 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 김혜성 ,6,4,0
2019-04-27,SK,KT,김광현,쿠에바스,김강민 고종욱 최정 한유섬 정의윤 이재원 로맥 김성현 안상현 ,배정대 강백호 유한준 로하스 박경수 황재균 윤석민 이해창 심우준 ,2,1,0
2019-04-27,LG,삼성,윌슨,맥과이어,이천웅 오지환 김현수 채은성 유강남 박용택 김민성 김용의 정주현 ,박해민 김상수 구자욱 이원석 강민호 최영진 김헌곤 이학주 박계범 ,8,0,0
2019-04-27,한화,NC,서폴드,김영규,정은원 송광민 호잉 김태균 이성열 최진행 김회성 최재훈 오선진 ,박민우 권희동 나성범 양의지 베탄코트 이원재 박석민 노진혁 이상호 ,1,15,1
2019-04-28,롯데,두산,김원중,이현호,전준우 아수아헤 손아섭 이대호 정훈 오윤석 배성근 김준태 신본기 ,정수빈 페르난데스 박건우 김재환 오재일 허경민 박세혁 류지혁 김재호 ,2,9,1
2019-04-28,KIA,키움,홍건희,안우진,이명기 김선빈 안치홍 최형우 이창진 박준태 류승현 한승택 박찬호 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 박동원 송성문 ,5,13,1
2019-04-28,SK,KT,산체스,이대은,김강민 고종욱 최정 한유섬 정의윤 이재원 로맥 최항 김성현 ,김민혁 황재균 강백호 로하스 유한준 박경수 윤석민 이준수 심우준 ,3,0,0
2019-04-28,LG,삼성,켈리,원태인,이천웅 오지환 김현수 채은성 유강남 박용택 김민성 김용의 정주현 ,박해민 김상수 구자욱 이원석 강민호 최영진 박계범 이학주 김헌곤 ,2,1,0
2019-04-28,한화,NC,장민재,이재학,호잉 정은원 송광민 이성열 김태균 김회성 김민하 최재훈 오선진 ,박민우 나성범 박석민 양의지 베탄코트 권희동 이원재 노진혁 김태진 ,4,10,1
2019-04-30,KT,LG,금민철,차우찬,오승택 황재균 강백호 로하스 유한준 박경수 배정대 이해창 강민국 ,이천웅 정주현 김현수 채은성 유강남 이형종 김민성 오지환 류형우 ,9,10,1
2019-04-30,키움,SK,요키시,다익손,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 김규민 ,김강민 고종욱 최정 한유섬 정의윤 로맥 김성현 허도환 안상현 ,15,5,0
2019-04-30,두산,한화,후랭코프,채드벨,허경민 페르난데스 박건우 김재환 오재일 김재호 박세혁 정병곤 김대한 ,정근우 정은원 호잉 이성열 김태균 송광민 최진행 최재훈 오선진 ,1,2,1
2019-04-30,삼성,KIA,백정현,터너,박해민 김상수 구자욱 이원석 박한이 최영진 이학주 김헌곤 김응민 ,이명기 김선빈 안치홍 최형우 김주찬 이창진 문선재 박찬호 한승택 ,0,8,1
2019-04-30,NC,롯데,박진우,레일리,이상호 권희동 나성범 양의지 베탄코트 박석민 이우성 김진형 손시헌 ,아수아헤 나경민 전준우 이대호 손아섭 신본기 허일 김준태 강로한 ,1,6,1
2019-05-01,KT,LG,알칸타라,배재준,김민혁 오승택 강백호 로하스 김영환 배정대 황재균 이준수 강민국 ,이천웅 오지환 김현수 채은성 유강남 박용택 김민성 김용의 정주현 ,2,3,1
2019-05-01,키움,SK,최원태,박종훈,이정후 김하성 샌즈 박병호 장영석 서건창 김규민 박동원 김혜성 ,노수광 한유섬 최정 정의윤 이재원 로맥 고종욱 김성현 안상현 ,0,2,1
2019-05-01,두산,한화,유희관,김범수,허경민 페르난데스 박건우 김재환 오재일 김재호 박세혁 류지혁 김대한 ,정은원 송광민 호잉 이성열 지성준 최진행 노시환 최재훈 오선진 ,1,4,1
2019-05-01,삼성,KIA,윤성환,김기훈,박해민 김상수 구자욱 이원석 강민호 최영진 김동엽 박계범 김헌곤 ,이명기 김선빈 안치홍 최형우 김주찬 이창진 오선우 박찬호 한승택 ,10,2,0
2019-05-01,NC,롯데,버틀러,박시영,박민우 나성범 박석민 양의지 베탄코트 권희동 노진혁 손시헌 이상호 ,아수아헤 나경민 전준우 이대호 손아섭 신본기 허일 안중열 강로한 ,9,5,0
2019-05-02,KT,LG,김민,장원삼,김민혁 오승택 강백호 유한준 박경수 로하스 황재균 이준수 강민국 ,이천웅 오지환 김현수 채은성 박용택 김민성 김용의 정상호 정주현 ,4,5,1
2019-05-02,키움,SK,이승호,문승원,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 송성문 ,노수광 한유섬 최정 정의윤 이재원 로맥 김강민 김성현 안상현 ,10,8,0
2019-05-02,두산,한화,이영하,김민우,허경민 류지혁 페르난데스 김재환 박건우 박세혁 오재일 국해성 김재호 ,정은원 송광민 호잉 이성열 지성준 최진행 노시환 최재훈 오선진 ,5,4,0
2019-05-02,삼성,KIA,최채흥,양현종,박해민 김상수 구자욱 이원석 강민호 최영진 김동엽 박계범 김헌곤 ,이명기 김선빈 안치홍 최형우 김주찬 이창진 유재신 박찬호 한승택 ,1,8,1
2019-05-02,NC,롯데,루친스키,톰슨,박민우 나성범 박석민 양의지 베탄코트 권희동 노진혁 정범모 이상호 ,아수아헤 나경민 전준우 이대호 손아섭 신본기 오윤석 김준태 강로한 ,7,6,0
2019-05-03,LG,두산,윌슨,린드블럼,이천웅 오지환 김현수 채은성 유강남 이형종 김민성 김용의 정주현 ,허경민 페르난데스 박건우 김재환 오재일 박세혁 국해성 오재원 김재호 ,2,7,1
2019-05-03,삼성,키움,맥과이어,브리검,박해민 김성훈 구자욱 이원석 강민호 최영진 공민규 이학주 김헌곤 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 송성문 ,3,8,1
2019-05-03,KT,한화,쿠에바스,서폴드,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이해창 심우준 ,정은원 오선진 호잉 이성열 송광민 노시환 최재훈 변우혁 김민하 ,5,4,0
2019-05-03,SK,롯데,김광현,장시환,김강민 한유섬 최정 정의윤 이재원 로맥 고종욱 김성현 안상현 ,아수아헤 정훈 전준우 이대호 손아섭 신본기 오윤석 안중열 배성근 ,11,7,0
2019-05-03,KIA,NC,윌랜드,김영규,이명기 김선빈 안치홍 최형우 김주찬 이창진 유재신 박찬호 한승택 ,박민우 나성범 박석민 양의지 베탄코트 권희동 노진혁 손시헌 이상호 ,8,4,0
2019-05-04,LG,두산,켈리,이현호,이천웅 정주현 김현수 채은성 유강남 이형종 김민성 오지환 김용의 ,허경민 페르난데스 박건우 김재환 박세혁 김재호 오재일 국해성 오재원 ,2,3,1
2019-05-04,삼성,키움,원태인,안우진,박해민 김상수 구자욱 이원석 강민호 최영진 공민규 이학주 김헌곤 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 박동원 김규민 ,3,1,0
2019-05-04,KT,한화,이대은,장민재,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이준수 강민국 ,정은원 이창열 호잉 이성열 송광민 노시환 지성준 최진행 오선진 ,9,10,1
2019-05-04,SK,롯데,산체스,김원중,노수광 한유섬 최정 정의윤 이재원 로맥 고종욱 김성현 안상현 ,아수아헤 강로한 전준우 이대호 손아섭 정훈 오윤석 안중열 신본기 ,10,4,0
2019-05-04,KIA,NC,홍건희,이재학,이명기 김선빈 안치홍 최형우 김주찬 이창진 박준태 박찬호 김민식 ,박민우 김태진 박석민 양의지 베탄코트 노진혁 손시헌 김진형 김성욱 ,1,4,1
2019-05-05,LG,두산,차우찬,후랭코프,이천웅 오지환 김현수 채은성 유강남 이형종 김민성 김용의 정주현 ,허경민 페르난데스 박건우 김재환 김재호 오재일 류지혁 이흥련 김대한 ,2,11,1
2019-05-05,삼성,키움,헤일리,요키시,박해민 김상수 구자욱 이원석 최영진 김헌곤 김동엽 박계범 김응민 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 김혜성 ,2,12,1
2019-05-05,KT,한화,금민철,채드벨,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이해창 강민국 ,정은원 오선진 호잉 이성열 송광민 최진행 노시환 최재훈 김민하 ,4,6,1
2019-05-05,SK,롯데,다익손,레일리,김강민 고종욱 최정 정의윤 로맥 나주환 김성현 허도환 안상현 ,아수아헤 강로한 허일 이대호 손아섭 정훈 오윤석 안중열 신본기 ,4,3,0
2019-05-05,KIA,NC,터너,박진우,이명기 김선빈 안치홍 최형우 이창진 문선재 박준태 박찬호 한승택 ,박민우 노진혁 권희동 양의지 베탄코트 손시헌 김태진 정범모 김성욱 ,3,10,1
2019-05-07,KIA,두산,강이준,유희관,이명기 김선빈 안치홍 최형우 김주찬 이창진 황대인 박찬호 한승택 ,허경민 페르난데스 박건우 김재환 김재호 박세혁 오재일 류지혁 국해성 ,3,4,1
2019-05-07,LG,키움,배재준,최원태,이천웅 오지환 김현수 채은성 유강남 이형종 김민성 김용의 정주현 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 박동원 허정협 ,12,10,0
2019-05-07,한화,SK,김범수,박종훈,정은원 오선진 송광민 호잉 이성열 최진행 김회성 노시환 최재훈 ,김강민 고종욱 최정 정의윤 로맥 이재원 나주환 김성현 안상현 ,2,11,1
2019-05-07,롯데,KT,박시영,알칸타라,강로한 고승민 허일 이대호 손아섭 전준우 김문호 나종덕 신본기 ,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이준수 강민국 ,2,7,1
2019-05-07,NC,삼성,버틀러,백정현,박민우 노진혁 박석민 양의지 베탄코트 권희동 손시헌 김태진 김성욱 ,박해민 김상수 구자욱 러프 이원석 강민호 공민규 이학주 김헌곤 ,3,6,1
2019-05-08,KIA,두산,양현종,이영하,이명기 김선빈 안치홍 최형우 김주찬 이창진 한승택 박찬호 유재신 ,허경민 페르난데스 박건우 김재환 김재호 오재일 오재원 이흥련 김경호 ,0,1,1
2019-05-08,LG,키움,장원삼,이승호,이형종 정주현 김현수 채은성 유강남 이천웅 김민성 오지환 김용의 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 허정협 ,0,6,1
2019-05-08,한화,SK,김민우,문승원,정은원 오선진 송광민 호잉 이성열 최진행 지성준 노시환 양성우 ,노수광 한유섬 최정 정의윤 로맥 이재원 김강민 김성현 안상현 ,2,17,1
2019-05-08,롯데,KT,톰슨,김민,강로한 고승민 허일 이대호 손아섭 전준우 김문호 나종덕 신본기 ,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이준수 강민국 ,4,5,1
