순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
97,러셀,20키2B,0.45,65,271,244,22,62,14,0,2,82,31,2,0,22,2,1,37,6,0,3,.254,.317,.336,.653,.304,75.7,0.45,-1.03
98,강경학,20한2B,0.44,93,237,192,25,44,7,1,4,65,19,1,2,35,3,0,64,2,5,2,.229,.353,.339,.692,.323,87.8,0.44,0.57
99,이학주,20삼SS,0.42,63,240,203,30,47,11,0,4,70,28,6,2,26,2,1,58,3,4,5,.232,.318,.345,.663,.301,70.3,0.42,-0.20
100,최영진,20삼3B,0.41,57,114,99,14,29,3,0,1,35,11,2,3,11,2,0,15,3,1,1,.293,.372,.354,.725,.342,98.2,0.41,-0.73
101,박용택,20LDH,0.39,97,236,217,22,65,15,0,2,86,35,2,0,15,0,1,34,7,0,4,.300,.339,.396,.735,.335,97.0,0.39,0.08
102,정진호,20한LF,0.38,112,321,277,30,77,14,1,2,99,18,9,7,29,3,1,49,5,10,2,.278,.351,.357,.708,.322,87.3,0.38,-0.82
103,김민하,20한RF,0.37,35,84,73,10,21,6,0,1,30,11,0,0,8,2,0,16,2,1,0,.288,.374,.411,.785,.360,112.4,0.37,-0.01
104,문상철,20K1B,0.36,72,169,152,23,40,3,2,8,71,25,0,1,10,2,0,41,4,3,2,.263,.313,.467,.780,.338,95.8,0.36,-0.93
105,박승욱,20K2B,0.34,97,128,110,23,29,3,2,1,39,10,5,1,11,4,0,37,1,2,1,.264,.349,.355,.704,.327,86.9,0.34,-0.37
106,모창민,20N1B,0.34,61,145,132,10,40,10,2,2,60,13,0,0,8,1,1,22,5,2,2,.303,.343,.455,.797,.350,100.9,0.34,0.51
107,최정원,20N2B,0.29,49,48,40,18,11,3,1,0,16,2,4,0,7,0,0,13,1,1,0,.275,.383,.400,.783,.358,106.6,0.29,0.17
108,손호영,20L3B,0.29,22,31,30,9,11,2,0,0,13,3,5,0,1,0,0,6,2,0,0,.367,.387,.433,.820,.380,125.1,0.29,-0.34
