,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
119,심동섭,1.68,0.5,0.27467811158798283,0.02575107296137339,0.99601593625498,0.4183266932270916,5.737051792828685,0.2
120,신승현,0.27,,0.08333333333333333,0.0,0.3125,0.0,0.0,0.18
121,김동호,2.03,0.0,0.29213483146067415,0.0056179775280898875,0.4444444444444444,0.5833333333333334,6.75,0.16
122,김명찬,1.4,,0.22727272727272727,0.0,0.4,0.4,3.6,0.15
123,구창모,1.64,0.4117647058823529,0.2633587786259542,0.03435114503816794,1.0260869565217392,0.43478260869565216,5.321739130434783,0.14
124,이영준,1.68,1.0,0.23255813953488372,0.0,0.4938271604938272,0.4938271604938272,5.555555555555555,0.13
125,송신영,0.95,,0.23076923076923078,0.0,0.9836065573770493,0.0,4.426229508196721,0.12
126,유재유,2.0,,0.24,0.0,0.2,0.8,3.6,0.12
127,임현준,1.41,,0.22916666666666666,0.0,0.3921568627450981,0.3921568627450981,5.294117647058824,0.11
128,장지훈,1.29,,0.2,0.0,2.380952380952381,0.47619047619047616,0.0,0.11
129,손주영,1.17,,0.23076923076923078,0.0,0.8333333333333334,0.16666666666666666,4.5,0.1
130,차재용,0.43,,0.125,0.0,0.9523809523809523,0.0,0.0,0.1
131,장민익,1.0,,0.0,0.0,1.0,1.0,0.0,0.09
132,박승주,1.0,,0.0,0.0,0.0,1.0,3.0,0.08
133,이명우,1.54,1.0,0.27419354838709675,0.024193548387096774,0.5725190839694657,0.26717557251908397,5.8396946564885495,0.07
134,최동환,1.42,0.3333333333333333,0.22807017543859648,0.05263157894736842,0.8157894736842105,0.39473684210526316,5.684210526315789,0.06
135,성영훈,1.0,,0.0,0.0,0.0,1.0,0.0,0.05
136,민태호,1.5,,0.2564102564102564,0.02564102564102564,0.853658536585366,0.3658536585365854,6.585365853658537,0.05
137,김정인,1.68,,0.2923076923076923,0.0,0.9848484848484849,0.30303030303030304,6.136363636363637,0.05
138,김도영,1.0,,0.25,0.0,0.0,0.0,0.0,0.05
139,금민철,2.11,0.5,0.30111524163568776,0.011152416356877323,0.7777777777777778,0.6111111111111112,6.333333333333333,0.05
140,손동욱,1.0,,0.0,0.0,1.0,1.0,0.0,0.04
141,고봉재,3.0,,0.4,0.0,0.0,1.0,0.0,0.04
142,박종윤,2.0,,0.21052631578947367,0.0,0.5,1.0,6.75,0.03
143,김주한,1.64,0.5454545454545454,0.25625,0.03125,0.6502890173410404,0.4624277456647399,5.982658959537572,0.03
144,류재인,1.5,,0.3333333333333333,0.0,0.0,0.0,0.0,0.03
145,홍건희,1.76,0.5,0.3074074074074074,0.018518518518518517,0.6949152542372882,0.3559322033898305,6.406779661016949,0.03
146,전용훈,1.44,,0.28205128205128205,0.0,0.6666666666666666,0.2222222222222222,6.0,0.03
147,전유수,1.98,,0.27184466019417475,0.009708737864077669,0.9900990099009901,0.6435643564356436,6.683168316831684,0.03
148,권혁,1.53,0.25,0.2653061224489796,0.04081632653061224,0.5466237942122186,0.28938906752411575,6.366559485530546,0.01
149,정수민,1.68,0.5,0.2421875,0.0546875,1.0,0.5714285714285714,6.75,0.01
150,이종혁,1.84,1.0,0.25773195876288657,0.030927835051546393,0.5263157894736842,0.5263157894736842,6.631578947368421,0.01
151,조무근,1.64,,0.3,0.02857142857142857,0.6338028169014085,0.21126760563380284,7.605633802816902,0.0
152,윤길현,1.58,0.2,0.25274725274725274,0.016483516483516484,1.0997442455242967,0.4092071611253197,6.445012787723785,0.0
153,조승수,,,0.0,0.0,,,,0.0
154,임치영,3.0,,0.5,0.0,1.0,0.0,9.0,-0.0
155,김해수,2.0,,0.14285714285714285,0.0,1.0,1.0,9.0,-0.01
156,정동윤,2.0,,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,9.0,-0.01
157,김정빈,2.0,,0.13333333333333333,0.0,1.0,1.3333333333333333,9.0,-0.01
