,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점
94,김건국,1.03,1.0,0.2682926829268293,0.024390243902439025,0.8823529411764707,0.0,2.647058823529412
95,최성훈,1.56,,0.22972972972972974,0.05405405405405406,0.8641975308641976,0.5555555555555556,3.888888888888889
96,한승혁,1.69,0.7,0.25862068965517243,0.019704433497536946,0.7386363636363636,0.5,5.829545454545454
97,최성영,1.42,0.5,0.23404255319148937,0.03900709219858156,0.889235569422777,0.390015600624025,5.897035881435258
98,이형범,1.59,0.5,0.2605042016806723,0.02100840336134454,0.4074074074074074,0.4444444444444444,5.166666666666667
99,임기영,1.71,0.47058823529411764,0.2953156822810591,0.04073319755600815,0.6476190476190476,0.3238095238095238,6.257142857142857
100,배재준,1.4,1.0,0.19540229885057472,0.017241379310344827,1.0732984293193717,0.5235602094240838,4.476439790575916
101,임찬규,1.65,0.5,0.2867647058823529,0.033823529411764704,0.8549931600547196,0.32147742818057456,5.786593707250343
102,윤성빈,1.72,0.2857142857142857,0.2170212765957447,0.02127659574468085,1.294820717131474,0.7171314741035856,6.4541832669322705
103,김범수,1.68,0.5,0.23318385650224216,0.03139013452914798,1.1226611226611227,0.6029106029106029,5.8004158004158
104,김지용,1.3,0.45454545454545453,0.26262626262626265,0.050505050505050504,0.8936170212765957,0.19148936170212766,5.361702127659575
105,송승준,1.62,0.42857142857142855,0.25761772853185594,0.0221606648199446,0.8607594936708861,0.4430379746835443,6.151898734177215
106,윤영삼,1.32,1.0,0.2440944881889764,0.015748031496062992,1.095890410958904,0.273972602739726,4.931506849315069
107,이현승,1.73,1.0,0.2785714285714286,0.02857142857142857,0.695364238410596,0.4635761589403974,5.066225165562914
108,김정후,1.39,0.0,0.16,0.04,0.7017543859649122,0.7017543859649122,3.6842105263157894
109,김태훈,1.66,0.5,0.2798165137614679,0.045871559633027525,0.7627118644067796,0.3813559322033898,6.101694915254237
110,김민,1.74,0.6666666666666666,0.2247191011235955,0.02247191011235955,0.6738544474393531,0.6738544474393531,5.09433962264151
111,배민관,1.18,,0.17647058823529413,0.0,1.0,0.36363636363636365,1.6363636363636365
112,김사율,1.46,0.3333333333333333,0.27450980392156865,0.058823529411764705,0.7760532150776053,0.22172949002217293,5.787139689578714
113,여건욱,1.54,,0.2621359223300971,0.009708737864077669,0.6756756756756757,0.3603603603603604,4.864864864864865
114,조상우,1.16,0.3333333333333333,0.20512820512820512,0.01282051282051282,1.2105263157894737,0.3157894736842105,3.789473684210526
115,이현호,1.79,,0.27611940298507465,0.029850746268656716,0.8214285714285714,0.4642857142857143,6.107142857142857
116,박정배,1.41,0.25,0.25888324873096447,0.04568527918781726,0.9954751131221719,0.27149321266968324,5.90497737556561
117,홍상삼,1.71,1.0,0.19696969696969696,0.015151515151515152,0.9154929577464789,0.8450704225352114,4.436619718309859
118,김영준,1.65,0.6666666666666666,0.19,0.03,0.7920792079207921,0.7425742574257426,4.455445544554456
119,권혁,1.18,0.5,0.20454545454545456,0.045454545454545456,1.0,0.36363636363636365,4.909090909090909
120,이상민,0.86,,0.1875,0.0,0.47619047619047616,0.23809523809523808,0.0
121,서균,1.47,0.5,0.23214285714285715,0.041666666666666664,0.5929919137466307,0.43126684636118595,5.82210242587601
122,전유수,1.61,0.0,0.25925925925925924,0.037037037037037035,0.8333333333333334,0.4444444444444444,5.5
123,윤규진,1.54,0.25,0.25984251968503935,0.03674540682414698,0.9642857142857143,0.35714285714285715,5.892857142857143
124,송창식,1.5,1.0,0.25862068965517243,0.034482758620689655,0.6557377049180328,0.3278688524590164,5.163934426229509
125,장원삼,1.58,0.75,0.27167630057803466,0.023121387283236993,0.7105263157894737,0.34210526315789475,6.157894736842105
126,고창성,1.81,1.0,0.3114754098360656,0.03825136612021858,0.6182795698924731,0.29569892473118276,6.774193548387096
127,엄상백,1.47,0.1111111111111111,0.24170616113744076,0.018957345971563982,0.9544468546637743,0.368763557483731,5.466377440347071
128,김종수,0.6,,0.16666666666666666,0.05555555555555555,0.2,0.0,1.8
129,임준섭,1.68,1.0,0.23529411764705882,0.029411764705882353,0.7407407407407408,0.7407407407407408,4.444444444444445
130,정성종,1.42,0.0,0.2235294117647059,0.023529411764705882,0.631578947368421,0.42105263157894735,6.157894736842105
131,이민호,1.42,0.5555555555555556,0.23214285714285715,0.03571428571428571,0.84,0.38,4.68
132,배우열,1.77,,0.25,0.0,1.7307692307692306,0.5769230769230769,1.7307692307692306
133,정수민,1.76,0.2857142857142857,0.24820143884892087,0.03597122302158273,0.6551724137931034,0.5689655172413793,6.051724137931035
134,박준표,1.0,,0.0,0.0,1.0,1.0,0.0
135,배장호,1.6,0.5,0.25892857142857145,0.026785714285714284,0.5394190871369294,0.41493775933609955,5.975103734439834
136,오주원,1.41,0.3333333333333333,0.26991150442477874,0.035398230088495575,0.690978886756238,0.2495201535508637,6.2188099808061414
137,남윤성,1.85,0.0,0.3,0.025,0.3658536585365854,0.48780487804878053,5.487804878048781
138,서진용,1.5,0.6,0.2311111111111111,0.06222222222222222,1.16,0.46,6.12
139,정동윤,1.5,,0.2727272727272727,0.09090909090909091,1.3636363636363635,0.45454545454545453,4.090909090909091
140,배제성,1.0,,0.17647058823529413,0.0,0.5,0.25,0.0
141,김재균,2.12,,0.10344827586206896,0.0,0.7692307692307692,1.7307692307692306,3.4615384615384612
142,전인환,1.77,,0.28,0.0,0.7692307692307692,0.5769230769230769,5.1923076923076925
143,김태오,1.95,0.3333333333333333,0.3137254901960784,0.0392156862745098,0.6666666666666666,0.42857142857142855,6.0
144,김정훈,1.59,0.4,0.242914979757085,0.02834008097165992,0.7358490566037735,0.4528301886792453,5.433962264150943
145,정용운,1.8,1.0,0.2222222222222222,0.022222222222222223,0.5,0.8,6.3
146,이명우,1.55,0.0,0.295,0.005,0.5681818181818182,0.20454545454545456,5.318181818181818
147,윤지웅,1.9,,0.2727272727272727,0.0,0.6557377049180328,0.49180327868852464,4.426229508196721
148,전상현,2.32,,0.34545454545454546,0.01818181818181818,0.6930693069306931,0.49504950495049505,6.237623762376238
